home,away,comp,stage,match_date,gd,xgd,attendance %,rest_advantage,home_team_dist_traveled,away_team_dist_traveled,distance_from_opp_home
Tottenham,Newcastle Utd,Premier League,Matchweek 16,12/10/2023,3,2.1,0.9856433888691953,0,0.0,175.84058523170475,241.60304839766928
Everton,Chelsea,Premier League,Matchweek 16,12/10/2023,2,0.3,0.9781607191772294,-1,0.0,27.8237650718974,178.68786692000916
Fulham,West Ham,Premier League,Matchweek 16,12/10/2023,5,1,0.9333852140077821,1,0.0,11.158905330556353,9.861680019725057
Luton Town,Manchester City,Premier League,Matchweek 16,12/10/2023,-1,-1.3,0.9205833333333333,1,0.0,75.17670354973767,133.00309255790327
Nott'ham Forest,Tottenham,Premier League,Matchweek 17,12/15/2023,-2,-0.2,0.9573230507809947,1,0.0,102.7015016091063,102.7015016091063
Manchester City,Crystal Palace,Premier League,Matchweek 17,12/16/2023,0,-0.2,0.967846302052093,-4,372.21825088058256,169.3384237319006,169.3384237319006
Newcastle Utd,Fulham,Premier League,Matchweek 17,12/16/2023,3,3.2,0.9952203422234968,-3,0.0,248.6902770092759,248.6902770092759
Chelsea,Sheffield Utd,Premier League,Matchweek 17,12/16/2023,2,2.7,0.9456477611940298,-1,0.0,141.18643889376855,141.18643889376855
Burnley,Everton,Premier League,Matchweek 17,12/16/2023,-2,-0.7,0.9497471835358822,1,0.0,38.67614293012165,38.67614293012165
West Ham,Wolves,Premier League,Matchweek 17,12/17/2023,3,0.4,0.99928,-5,0.0,115.50236055822437,115.50236055822437
Arsenal,Brighton,Premier League,Matchweek 17,12/17/2023,2,1.6,0.9926363995782815,2,239.9140908231991,47.90704237150476,47.90704237150476
Liverpool,Manchester Utd,Premier League,Matchweek 17,12/17/2023,0,1.5,0.937016393442623,-2,448.2625540355849,27.637459179728413,27.637459179728413
Brentford,Aston Villa,Premier League,Matchweek 17,12/17/2023,-1,-0.9,0.9874782608695652,5,0.0,1011.8048240796066,97.49470174212284
Crystal Palace,Brighton,Premier League,Matchweek 18,12/21/2023,0,0.1,0.9206246429251571,1,169.3384237319006,10.870116866912975,37.06988086063056
Aston Villa,Sheffield Utd,Premier League,Matchweek 18,12/22/2023,0,0.3,0.9768058161350844,-1,97.49470174212284,61.943202250247815,61.943202250247815
West Ham,Manchester Utd,Premier League,Matchweek 18,12/23/2023,2,0.2,1.031552,-3,180.08844231218643,163.8010029079662,163.8010029079662
Tottenham,Everton,Premier League,Matchweek 18,12/23/2023,1,-0.3,0.9959073184879637,4,0.0,175.84058523170475,175.84058523170475
Liverpool,Arsenal,Premier League,Matchweek 18,12/23/2023,0,0.3,0.9434098360655738,-3,0.0,176.59599193203024,176.59599193203024
Nott'ham Forest,Bournemouth,Premier League,Matchweek 18,12/23/2023,-1,-0.6,0.9537938696817202,-6,0.0,155.2807119706641,155.2807119706641
Fulham,Burnley,Premier League,Matchweek 18,12/23/2023,-2,0.9,0.9182101167315175,-3,178.20612635238703,180.69996260710624,180.69996260710624
Luton Town,Newcastle Utd,Premier League,Matchweek 18,12/23/2023,1,0,0.9201666666666667,9,0.0,29.65824840159611,219.13376252807404
Wolves,Chelsea,Premier League,Matchweek 18,12/24/2023,1,-0.7,0.9872386895475819,2,0.0,112.51325025221647,112.51325025221647
Manchester Utd,Aston Villa,Premier League,Matchweek 19,12/26/2023,1,-0.6,0.9715176083770186,-1,163.8010029079662,68.04384326627398,68.04384326627398
Newcastle Utd,Nott'ham Forest,Premier League,Matchweek 19,12/26/2023,-2,-1.1,0.9981263741516108,0,219.13376252807404,142.04126417458008,142.04126417458008
Sheffield Utd,Luton Town,Premier League,Matchweek 19,12/26/2023,-1,1.8,0.9492079995107333,1,61.943202250247815,111.54483901345607,111.54483901345607
Burnley,Liverpool,Premier League,Matchweek 19,12/26/2023,-2,-1,0.9591058280848044,0,180.69996260710624,38.85315934090947,38.85315934090947
Bournemouth,Fulham,Premier League,Matchweek 19,12/26/2023,3,1.5,0.9249166666666667,0,155.2807119706641,86.78071188693295,86.78071188693295
Chelsea,Crystal Palace,Premier League,Matchweek 19,12/27/2023,1,1.5,0.9461014925373135,-3,112.51325025221647,7.336218240493724,7.336218240493724
Everton,Manchester City,Premier League,Matchweek 19,12/27/2023,-2,-1.4,0.9793311253330678,-7,175.84058523170475,31.662427052118172,31.662427052118172
Brentford,Wolves,Premier League,Matchweek 19,12/27/2023,-3,-0.2,0.9918260869565217,7,0.0,108.77048838167428,108.77048838167428
Arsenal,West Ham,Premier League,Matchweek 19,12/28/2023,-2,1.3,0.9927022930943595,0,176.59599193203024,4.121217159991134,4.121217159991134
Brighton,Tottenham,Premier League,Matchweek 19,12/28/2023,2,0.9,0.9746153846153847,2,0.0,51.31601154621342,51.31601154621342
Manchester City,Sheffield Utd,Premier League,Matchweek 20,12/30/2023,2,1.9,0.9653016340403875,-1,31.662427052118172,31.02540240083707,31.02540240083707
Aston Villa,Burnley,Premier League,Matchweek 20,12/30/2023,1,2,0.9759146341463415,0,68.04384326627398,89.58447637489749,89.58447637489749
